Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Carbon_Intensity_per_MW
00:00,-79,4159,953,290,212,241,3,2261,8231,1364,-217,5689,0,296.0517226491667
00:05,-79,4163,953,290,210,235,4,2262,8104,1397,-121,5629,0,294.15661394055275
00:10,-79,4167,954,288,208,226,3,2262,8023,1395,-10,5512,0,292.6130983692793
00:15,-79,4202,954,290,207,221,3,2262,8081,1397,-10,5382,0,291.7599438054263
00:20,-79,4224,953,288,207,222,4,2262,8050,1401,-20,5359,0,291.0519606119219
00:25,-79,4235,954,289,207,222,4,2262,8000,1393,-50,5337,0,290.40421498170275
00:30,-79,4237,953,291,207,223,4,2262,8053,1392,-141,5312,0,290.68733212980493
00:35,-79,4230,953,290,207,224,4,2263,8013,1394,-171,5323,0,290.4659346474401
00:40,-79,4241,954,289,207,221,4,2263,7998,1390,-205,5295,0,290.0397508943951
00:45,-79,4251,954,289,207,221,4,2263,8094,1397,-305,5280,0,290.574255684067
00:50,-79,4268,954,290,207,219,4,2263,7927,1391,-219,5191,0,288.3208713047344
00:55,-79,4288,952,290,207,223,5,2263,7853,1392,-149,5074,0,286.5918294212507
01:00,-79,4307,954,290,207,223,5,2263,7821,1391,-183,5027,0,285.70967886817874
01:05,-79,4332,954,287,207,223,4,2263,7971,1407,-357,5122,0,287.25551071095936
01:10,-79,4375,954,289,207,222,4,2263,8073,1398,-393,5010,0,286.9397067292783
01:15,-79,4465,954,289,207,223,4,2263,8152,1392,-495,4986,0,286.453680873547
01:20,-79,4525,954,290,207,222,5,2262,8073,1399,-518,4955,0,284.74644905161006
01:25,-79,4575,954,287,207,222,4,2264,7972,1388,-507,4947,0,283.2534737587397
01:30,-79,4660,954,288,207,222,4,2264,7921,1382,-510,4866,0,281.2307282888317
01:35,-79,4749,954,292,207,219,4,2265,7921,1384,-546,4828,0,279.84321359051495
01:40,-79,4780,954,293,207,219,4,2265,7883,1387,-522,4745,0,278.4563460342837
01:45,-79,4747,953,292,207,221,5,2264,7800,1394,-430,4605,0,276.95342884088564
01:50,-79,4732,953,294,206,221,4,2264,7686,1399,-310,4445,0,274.6855297275167
