Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Carbon_Intensity_per_MW
00:00,-55,1789,835,304,220,374,0,2222,13659,3267,98,3531,0,330.2082931533269
00:05,-55,1765,835,306,220,366,0,2223,13893,3164,450,3055,0,326.45679441163986
00:10,-55,1748,835,305,220,353,0,2222,14026,3182,680,2719,0,322.81212167945404
00:15,-55,1723,834,305,220,352,0,2223,14091,3162,733,2502,0,322.0320241926104
00:20,-55,1704,834,305,221,351,0,2221,14072,3116,575,2714,0,325.7175685117615
00:25,-56,1700,835,305,220,352,0,2223,14281,3081,384,2733,0,329.98369691794113
00:30,-55,1698,835,304,220,351,0,2222,14170,3104,242,2872,0,331.5341099466241
00:35,-55,1700,835,305,220,351,0,2223,13868,3125,290,2794,0,328.35867507886434
00:40,-56,1715,835,305,220,352,0,2223,13764,3098,307,2785,0,327.56605417392683
00:45,-55,1739,836,305,220,351,0,2223,13808,3114,67,2898,0,331.0122173740579
00:50,-55,1767,836,305,220,351,0,2223,13531,3128,21,3063,0,330.11915198852313
00:55,-55,1790,837,304,220,351,0,2224,13405,3121,-26,3145,0,329.757166813064
01:00,-55,1833,837,303,220,351,0,2225,12985,3112,66,3196,0,325.9607700690156
01:05,-55,1875,838,304,220,352,0,2223,12663,3092,173,3243,0,322.35670496528763
01:10,-55,1888,838,303,221,354,0,2222,12294,3084,312,3405,0,318.80205153254366
01:15,-55,1898,838,303,220,355,0,2223,12129,3092,268,3500,0,318.4996117853786
01:20,-55,1924,839,304,221,355,0,2225,12007,3081,150,3615,0,319.5659525568415
01:25,-55,1966,839,304,221,355,0,2224,11885,3058,107,3661,0,319.2830826293015
01:30,-55,1980,839,304,220,354,0,2224,11757,3033,61,3722,0,319.4478873239437
01:35,-55,1979,838,303,221,353,0,2223,11732,3031,53,3681,0,319.2162420514526
01:40,-54,1973,839,303,220,354,0,2223,11565,3019,55,3722,0,318.4384798695598
01:45,-55,1951,838,302,220,354,0,2221,11494,3047,87,3633,0,316.98423906190897
01:50,-54,1928,839,303,220,354,0,2220,11397,3038,84,3631,0,316.70921386306003
01:55,-54,1940,839,303,220,355,0,2219,11299,3044,78,3601,0,315.68177377564456
02:00,-54,1930,839,303,221,356,0,2220,11147,3036,61,3654,0,315.2960574089103
02:05,-54,1888,840,305,221,356,0,2219,10926,3012,219,3717,0,312.7109264573607
02:10,-54,1842,840,304,221,356,0,2218,10818,2974,308,3756,0,312.00489669687727
02:15,-54,1805,841,303,221,356,0,2219,11194,2958,137,3711,0,317.53251528496304
02:20,-55,1751,840,303,221,355,0,2218,11353,2991,-148,3801,0,321.376267143709
02:25,-54,1726,840,302,221,355,0,2218,10940,2990,-15,3807,0,318.74014927963896
02:30,-54,1718,840,302,220,354,0,2218,10797,2992,10,3780,0,317.46076845740265
02:35,-54,1718,841,301,221,354,0,2218,10813,2992,-28,3753,0,317.551647197795
02:40,-54,1709,841,300,221,355,0,2217,10874,2983,-113,3768,0,318.3499323528128
02:45,-54,1686,841,302,221,354,0,2217,10800,2979,-136,3828,0,318.491737343709
02:50,-54,1671,841,302,221,354,0,2217,10726,2980,-149,3836,0,318.16986926384135
02:55,-54,1674,841,302,221,354,0,2216,10627,2967,-160,3885,0,317.8470065543483
03:00,-54,1688,842,303,221,354,0,2216,10515,2951,-116,3852,0,316.8026385691518
03:05,-54,1701,842,302,221,354,0,2216,10269,2940,-83,3990,0,315.6959209999555
03:10,-54,1705,843,304,221,354,0,2216,10540,2937,-220,3941,0,317.45162284758004
03:15,-54,1685,843,304,221,353,0,2217,10627,2935,-322,4002,0,318.7430148024875
03:20,-54,1669,843,304,221,353,0,2216,10415,2928,-233,3984,0,317.35279007971656
03:25,-54,1649,843,305,221,353,0,2217,10207,2922,-150,4001,0,316.18215962441315
