Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Carbon_Intensity_per_MW
00:00,-33,1420,809,264,207,195,0,2254,11921,1552,62,4678,0,352.51858246643934
00:05,-35,1394,809,264,207,196,0,2252,11841,1390,29,5087,0,356.9554419284149
00:10,-35,1374,809,263,207,196,0,2252,11676,1351,147,5187,0,355.4615318490501
00:15,-33,1356,809,263,208,196,0,2252,11569,1347,202,5137,0,354.10949315127687
00:20,-33,1372,809,263,208,195,0,2252,11583,1344,179,5107,0,354.2257213306225
00:25,-33,1386,809,263,208,195,0,2253,11602,1341,149,5051,0,354.3861763940682
00:30,-34,1386,809,265,208,195,0,2253,11614,1345,90,5004,0,355.1031600940193
00:35,-33,1373,809,263,208,195,0,2252,11602,1339,33,4998,0,356.2000262272151
00:40,-33,1366,808,262,208,195,0,2252,11580,1341,-29,4963,0,356.53880597014927
00:45,-33,1361,809,264,208,195,0,2252,11513,1349,-39,4975,0,356.1283709471647
00:50,-32,1355,809,266,208,196,0,2252,11461,1345,-46,4956,0,355.88098181176053
00:55,-32,1354,809,268,208,195,0,2252,11426,1335,-103,4979,0,355.9199328354911
01:00,-33,1345,809,267,208,194,0,2252,11387,1337,-106,4927,0,355.5842357535949
01:05,-34,1322,809,268,207,196,0,2252,11362,1351,-36,4829,0,355.1666964285714
01:10,-34,1290,810,266,208,196,0,2252,11285,1367,-31,4871,0,355.12604590809434
01:15,-34,1267,809,265,208,195,0,2251,11218,1379,-28,4829,0,354.75182219022764
01:20,-34,1260,809,266,208,196,0,2252,11013,1392,-28,4982,0,354.05211432693176
01:25,-33,1268,809,264,208,196,0,2252,10798,1375,103,4994,0,351.26917674776854
01:30,-31,1267,809,265,208,196,0,2252,10866,1367,23,4946,0,352.88860609916827
01:35,-27,1256,808,264,208,195,0,2251,10877,1363,-83,4986,0,353.7677735883342
01:40,-24,1249,808,265,206,195,0,2253,10862,1354,-95,4967,0,353.81005281369517
01:45,-20,1243,808,263,205,194,0,2254,10836,1352,-107,4936,0,353.63730191350413
01:50,-20,1236,808,262,206,194,0,2253,10764,1351,-81,4927,0,353.28775163938184
01:55,-25,1233,808,262,205,193,0,2253,10616,1352,-57,4983,0,352.64296241709656
02:00,-30,1238,808,263,206,195,0,2253,10488,1358,-57,5049,0,351.94700641647046
02:05,-29,1255,808,265,205,195,0,2251,10345,1356,-101,5165,0,351.34965357967667
02:10,-29,1273,808,263,206,195,0,2252,10275,1357,-141,5217,0,350.83100087755764
02:15,-29,1283,808,265,206,195,0,2251,10219,1356,-134,5222,0,350.3561314206386
02:20,-29,1280,808,265,205,195,0,2250,10018,1364,-100,5352,0,349.6017082907808
02:25,-30,1273,808,265,205,196,0,2252,9826,1378,-75,5464,0,348.73624889385684
02:30,-28,1251,808,265,205,196,0,2251,9831,1361,-100,5422,0,349.1905207067402
02:35,-28,1236,808,263,206,196,0,2251,9821,1360,-105,5426,0,349.40096392307333
02:40,-30,1232,808,264,206,196,0,2251,9834,1351,-114,5407,0,349.5918137966562
02:45,-31,1223,808,264,206,196,0,2252,9821,1342,-222,5490,0,350.1589274035317
02:50,-31,1205,808,264,205,196,0,2252,9809,1341,-211,5465,0,350.2694271394445
02:55,-31,1175,809,264,205,195,0,2253,9791,1335,-233,5493,0,350.8196014067995
03:00,-32,1144,809,262,206,194,0,2253,9757,1320,-182,5492,0,351.3230711293132
03:05,-34,1116,809,261,205,194,0,2253,9752,1269,-163,5496,0,352.55829119606824
03:10,-33,1074,809,262,205,194,0,2253,9766,1132,-107,5574,0,355.8189323843416
03:15,-33,1043,809,262,205,196,0,2253,9788,1054,-49,5586,0,357.75333333333333
03:20,-34,1029,809,263,206,197,0,2253,9802,1077,-8,5494,0,357.28868294081116
03:25,-34,1016,810,264,206,196,0,2254,9806,1078,23,5440,0,356.8422261568646
03:30,-35,1007,810,265,206,196,0,2254,9806,1083,32,5359,0,356.38862741331286
