Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Carbon_Intensity_per_MW
00:00,-57,2525,793,265,201,219,0,2261,8583,1648,-469,5763,0,319.13054131312674
00:05,-57,2622,793,264,198,218,0,2261,8237,1807,239,5403,0,307.268969941349
00:10,-57,2724,792,264,197,221,0,2260,7955,1930,435,5307,0,298.5891877058178
00:15,-57,2750,793,263,198,222,0,2261,7857,1964,429,5305,0,297.00329972502294
00:20,-57,2759,792,265,198,222,0,2260,7727,1959,423,5486,0,297.16768027801913
00:25,-57,2666,793,265,198,224,0,2261,7657,1943,405,5627,0,299.1730460692184
00:30,-57,2579,793,264,198,224,0,2260,7618,1936,458,5683,0,299.74280600302905
00:35,-57,2589,793,265,199,223,0,2261,7591,1940,414,5633,0,299.56439935439244
00:40,-57,2634,793,265,198,223,0,2260,7579,1945,265,5691,0,301.28025889967637
00:45,-57,2673,793,264,198,222,0,2260,7569,1914,146,5585,0,302.0085038781422
00:50,-57,2725,793,264,199,221,0,2260,7526,1899,80,5612,0,302.2361644348722
00:55,-57,2743,794,263,199,221,0,2260,7444,1919,-54,5746,0,303.0599026581805
01:00,-57,2726,793,264,199,221,0,2259,7401,1927,-79,5707,0,302.5630757661215
01:05,-57,2657,793,266,199,221,0,2260,7363,1872,120,5549,0,301.05488875183835
01:10,-57,2637,793,265,199,221,0,2259,7305,1855,99,5625,0,301.8883871274421
01:15,-57,2679,794,266,199,221,0,2260,7263,1863,46,5685,0,301.98157207314176
01:20,-57,2747,794,266,199,221,0,2259,7245,1879,-89,5657,0,301.14938705692293
01:25,-57,2781,780,267,199,221,0,2260,7230,1860,-183,5789,0,301.88519323443256
01:30,-57,2810,784,269,199,221,0,2260,7244,1822,-214,5784,0,302.0196485924806
01:35,-57,2858,785,266,199,222,0,2260,7261,1743,-244,5783,0,302.5416213661073
01:40,-57,2883,786,267,199,222,0,2261,7303,1676,-266,5774,0,303.360442574117
01:45,-57,2908,782,266,198,222,0,2260,7314,1650,-360,5834,0,303.94173109560626
01:50,-57,2895,783,268,198,223,0,2260,7307,1643,-412,5855,0,304.27676929605354
01:55,-58,2880,784,266,198,223,0,2260,7240,1645,-410,5918,0,304.29767354065405
02:00,-58,2929,785,265,198,223,0,2260,7160,1643,-391,5894,0,302.7689978234125
02:05,-58,2970,787,266,198,221,0,2260,7213,1647,-378,5760,0,301.65793090374865
02:10,-58,2959,787,267,197,221,0,2261,7261,1635,-528,5702,0,301.9742750011866
02:15,-58,2938,789,267,197,221,0,2261,7264,1635,-525,5664,0,301.99809659766834
02:20,-58,2875,789,268,197,220,0,2261,7242,1652,-481,5671,0,302.49305654974944
02:25,-58,2863,788,269,197,220,0,2261,7150,1649,-439,5667,0,301.85367491844175
02:30,-58,2852,784,267,197,219,0,2260,7126,1629,-402,5577,0,301.48569495457184
02:35,-58,2849,782,267,197,219,0,2261,7046,1628,-398,5673,0,301.51272762401584
02:40,-58,2911,802,268,197,219,0,2262,6981,1647,-383,5630,0,299.2182819596096
02:45,-58,2959,808,269,197,219,0,2261,6941,1647,-490,5660,0,298.33873300549607
02:50,-58,2988,806,268,197,219,0,2260,6802,1646,-439,5724,0,297.1745203228457
02:55,-58,3064,805,269,196,220,0,2261,6752,1627,-391,5650,0,295.35822342901474
03:00,-58,3150,804,267,196,219,0,2260,6741,1621,-446,5641,0,294.12021276595743
03:05,-58,3251,804,266,196,219,0,2261,6618,1646,-467,5771,0,292.23225868447605
03:10,-58,3269,805,267,195,219,0,2261,6536,1651,-405,5775,0,291.1616166482008
03:15,-58,3199,805,267,195,219,0,2261,6525,1637,-324,5802,0,292.38838142187427
03:20,-58,3119,805,268,195,220,0,2259,6523,1638,-239,5801,0,293.4611801242236
03:25,-58,3102,806,268,195,221,0,2261,6554,1656,-225,5792,0,293.64534263836384
03:30,-58,3162,807,266,196,221,0,2260,6655,1649,-238,5680,0,293.0358403869408
03:35,-58,3254,807,265,196,221,0,2261,6780,1634,-305,5551,0,292.18440331598225
03:40,-58,3314,807,266,196,220,0,2261,6826,1625,-395,5565,0,292.0333652924257
03:45,-58,3322,808,266,196,220,0,2261,6816,1634,-385,5566,0,291.7109588384685
03:50,-58,3348,808,267,196,219,0,2262,6811,1647,-378,5534,0,290.88928280553824
03:55,-58,3372,807,268,196,220,0,2261,6786,1641,-307,5503,0,290.1918018623404
04:00,-58,3413,807,266,196,221,0,2261,6736,1632,-289,5563,0,289.7466704991856
04:05,-58,3432,807,266,195,220,0,2260,6788,1639,-532,5832,0,291.9485366888166
04:10,-58,3423,807,265,195,220,0,2260,6793,1646,-540,5953,0,292.9240933370818
04:15,-58,3373,807,266,196,220,0,2260,6839,1644,-443,5904,0,293.66752783127436
04:20,-58,3325,807,265,196,220,0,2260,6900,1632,-349,5779,0,294.10480060480063
04:25,-58,3277,807,266,196,220,0,2261,6943,1647,-362,5805,0,295.12451655504196
04:30,-58,3291,807,263,196,221,0,2261,7067,1650,-300,5668,0,295.04739895297837
