Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Carbon_Intensity_per_MW
00:00,-53,933,760,193,163,165,-1,2263,10418,1353,503,5243,0,350.25672270832376
00:05,-53,935,759,193,163,166,-1,2261,10233,1479,701,5309,0,344.3829709980484
00:10,-54,930,758,193,162,159,-1,2263,10180,1561,734,5314,0,342.4183751980086
00:15,-53,940,758,192,162,159,-1,2263,10136,1575,647,5387,0,343.48368087035357
00:20,-54,958,758,191,162,155,-1,2263,10080,1573,663,5383,0,342.6057827606554
00:25,-54,961,757,193,162,162,-1,2263,10084,1574,579,5391,0,343.92596976871243
00:30,-54,951,757,192,162,158,-1,2262,10072,1574,510,5399,0,345.1413684354861
00:35,-53,935,757,193,163,161,-1,2263,10071,1581,468,5375,0,345.7995964413464
00:40,-53,923,757,193,163,158,-1,2263,10063,1592,375,5389,0,347.3158670227461
00:45,-53,913,763,194,163,162,-1,2264,10072,1601,258,5412,0,349.2759704251386
00:50,-54,907,775,193,163,159,-1,2264,10042,1605,153,5468,0,350.90783495595736
00:55,-54,901,785,192,162,162,-1,2264,10024,1607,39,5521,0,352.82661083973017
01:00,-54,892,789,194,163,159,-1,2264,9990,1604,-30,5547,0,353.4817889287879
01:05,-53,891,804,193,163,162,-1,2263,9909,1503,136,5506,0,351.902938974167
01:10,-53,891,812,194,163,159,-1,2263,9788,1409,300,5507,0,349.7397664931777
01:15,-53,887,815,194,163,163,-1,2264,9779,1390,299,5460,0,349.7699872947155
01:20,-53,880,817,195,163,157,-1,2263,9780,1386,204,5497,0,351.6741090394147
01:25,-53,876,817,194,163,157,-1,2265,9740,1382,205,5495,0,351.48630363817006
01:30,-53,876,818,195,163,160,-1,2264,9652,1383,205,5510,0,350.9577518275895
01:35,-53,878,815,196,163,163,-1,2264,9571,1386,170,5540,0,351.10794452652146
01:40,-53,876,817,196,163,163,-1,2264,9530,1382,101,5616,0,352.4165194557174
01:45,-53,874,817,197,163,166,-1,2265,9504,1385,57,5621,0,352.97438107551596
01:50,-53,876,817,198,163,157,-1,2265,9472,1383,50,5583,0,352.6981304368722
01:55,-53,885,817,197,163,161,-1,2265,9474,1371,24,5563,0,353.10756780191724
02:00,-53,889,817,197,163,155,-1,2265,9504,1343,32,5496,0,353.2351009369265
02:05,-54,889,810,196,163,161,-1,2264,9546,1315,-4,5492,0,354.61600967351876
02:10,-54,884,805,196,163,158,-1,2265,9551,1288,-37,5512,0,355.31600851722806
02:15,-54,880,807,196,163,162,-1,2265,9551,1276,4,5436,0,355.1263485275537
02:20,-54,875,808,196,163,159,-1,2266,9611,1266,89,5263,0,353.4639918196426
02:25,-54,871,808,196,163,162,-1,2265,9567,1270,31,5326,0,354.4868029467727
02:30,-54,862,807,195,163,159,-1,2265,9496,1268,16,5377,0,354.7191549709032
02:35,-54,855,807,194,163,163,-1,2265,9439,1264,5,5430,0,354.96826951327
02:40,-54,858,807,195,163,165,-1,2265,9343,1263,59,5421,0,353.3088249730048
02:45,-55,869,807,195,163,161,-1,2264,9300,1267,67,5413,0,352.6104694028017
02:50,-54,881,807,194,163,159,-1,2265,9303,1266,-26,5466,0,353.85018432047184
02:55,-54,878,807,194,163,163,-1,2265,9308,1270,-55,5435,0,353.7225393700787
03:00,-54,870,807,194,163,166,-1,2266,9294,1267,-49,5416,0,353.70498594466636
03:05,-55,871,807,194,163,163,-1,2266,9271,1267,23,5391,0,353.01278822890436
03:10,-54,873,807,193,163,160,-1,2265,9297,1269,63,5318,0,352.0983800869222
03:15,-54,863,807,194,163,161,-1,2266,9306,1271,71,5271,0,351.9056995844053
03:20,-54,856,807,195,162,164,-1,2266,9292,1266,61,5286,0,352.2561537318607
03:25,-54,851,807,196,163,162,-1,2266,9332,1264,26,5259,0,353.11475897639355
03:30,-54,845,808,197,163,163,-1,2267,9359,1265,1,5240,0,353.6916356415984
03:35,-55,843,808,197,163,161,-1,2267,9359,1264,10,5228,0,353.5264908883261
03:40,-54,838,808,197,163,164,-1,2266,9369,1272,17,5178,0,353.20220807638754
03:45,-54,846,808,196,162,162,-1,2265,9379,1265,29,5184,0,353.0965530942684
03:50,-54,855,808,196,162,161,-1,2266,9380,1261,35,5169,0,352.82187562090206
03:55,-55,854,808,197,162,162,-1,2266,9397,1273,36,5117,0,352.4836399801094
04:00,-54,856,808,197,162,160,-1,2266,9426,1283,27,5085,0,352.4873197414222
04:05,-54,858,808,197,163,159,-1,2265,9439,1313,34,5038,0,351.71275167785234
04:10,-54,857,807,197,163,162,-1,2264,9448,1367,80,4901,0,349.46703843855806
04:15,-54,852,808,197,163,160,-1,2265,9447,1369,111,4869,0,348.77964244808527
04:20,-55,846,808,197,163,160,-1,2265,9451,1372,106,4878,0,348.9920342527133
04:25,-55,837,808,195,163,163,-1,2265,9446,1369,64,4922,0,350.12028501669243
04:30,-55,821,807,195,163,159,-1,2266,9431,1365,65,4951,0,350.4759768740032
04:35,-55,807,808,195,163,163,-1,2266,9437,1370,80,4943,0,350.3552743036524
04:40,-55,795,809,195,163,159,-1,2264,9440,1371,104,4914,0,350.01715282971827
04:45,-55,785,809,195,163,162,-1,2266,9451,1365,119,4902,0,350.0046871104463
04:50,-56,785,809,194,163,157,-1,2265,9455,1365,132,4883,0,349.73377886389704
04:55,-56,786,809,195,163,158,-1,2266,9450,1358,162,4909,0,349.3804358642651
05:00,-55,788,808,194,163,163,-1,2267,9400,1358,219,4922,0,348.07724041950394
05:05,-55,796,808,195,162,159,-1,2267,9308,1405,544,4712,0,339.8826558399762
05:10,-55,800,808,194,163,158,-1,2266,9282,1406,753,4607,0,335.55303515952465
05:15,-55,798,808,194,163,159,-1,2265,9284,1409,788,4598,0,334.9409563204806
05:20,-55,807,808,195,163,161,-1,2266,9279,1411,837,4559,0,333.679901599016
05:25,-55,812,808,195,163,159,-1,2266,9296,1409,743,4662,0,335.89152009433036
05:30,-55,819,808,194,163,161,-1,2266,9293,1410,753,4681,0,335.6891156128906
05:35,-55,818,808,196,163,162,-1,2266,9298,1415,807,4660,0,334.6513631246635
05:40,-55,814,810,195,162,160,-1,2266,9285,1412,859,4682,0,333.9169148157188
05:45,-55,804,809,195,162,164,-1,2266,9270,1406,981,4625,0,331.75679890827564
05:50,-55,805,809,196,162,163,-1,2266,9264,1405,1015,4634,0,331.2081144191477
05:55,-55,806,808,198,162,155,-1,2266,9269,1405,1067,4635,0,330.4058983313931
06:00,-52,800,809,199,162,159,-1,2265,9320,1410,1124,4542,0,329.36319131404196
06:05,-47,799,811,199,162,157,-1,2266,9394,1400,1121,4552,0,330.16267387944356
06:10,-33,798,808,198,162,163,-1,2266,9370,1390,1326,4502,0,326.6489913544669
06:15,6,813,808,198,162,160,-1,2266,9362,1371,1473,4391,0,323.59587529976017
06:20,83,831,813,198,162,160,-1,2266,9313,1365,1483,4433,0,322.0423927053993
06:25,210,838,816,197,162,162,-1,2266,9295,1356,1430,4368,0,320.64189511892255
06:30,405,845,808,198,162,159,-1,2266,9297,1355,1232,4345,0,321.02405202505616
06:35,673,845,808,197,162,162,-1,2265,9292,1354,948,4376,0,322.0685468451243
06:40,1020,842,808,197,162,159,-1,2265,9275,1345,732,4257,0,320.15490599435486
06:45,1415,842,816,198,162,156,-1,2265,9243,1338,336,4309,0,321.1261709042248
06:50,1894,842,829,198,162,160,-1,2266,9101,1336,-17,4317,0,318.7736452613989
06:55,2421,836,814,198,163,162,-1,2265,8758,1298,-241,4395,0,310.55910724418385
