Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Carbon_Intensity_per_MW
00:00,-47,1436,579,285,203,202,0,1121,14630,2308,-369,2672,0,369.77782560041317
00:05,-53,1395,580,285,202,201,0,1121,14494,2088,58,2761,0,372.3835711799513
00:10,-53,1356,580,283,202,201,0,1121,14376,2107,235,2832,0,369.5012125411398
00:15,-53,1352,579,282,202,200,0,1122,14318,2051,241,2876,0,370.1626199887069
00:20,-54,1346,579,281,202,201,0,1121,14286,2043,325,2797,0,368.60391644908617
00:25,-54,1323,579,284,202,200,0,1121,14269,2000,281,2837,0,370.3515897973445
00:30,-54,1293,579,286,202,200,0,1122,14239,2000,168,2925,0,372.77908301919877
00:35,-54,1277,580,286,202,200,0,1121,14232,2014,60,2963,0,374.6831757202551
00:40,-54,1242,580,288,202,201,0,1121,14236,2010,-28,3022,0,376.49777542839524
00:45,-54,1242,580,285,201,200,0,1121,14223,2004,-91,3011,0,376.51616887986944
00:50,-54,1258,580,283,202,201,0,1121,14203,1993,-159,3027,0,376.3881413508625
00:55,-54,1241,580,284,201,200,0,1122,14187,1995,-221,3044,0,376.58938818751653
01:00,-54,1209,580,283,201,201,0,1121,14178,1961,-252,3065,0,377.68183025046466
01:05,-54,1148,580,283,202,201,0,1121,14165,1969,-319,3146,0,378.73105156097995
01:10,-54,1113,581,283,202,201,0,1121,14149,2019,-385,3159,0,378.46166084765986
01:15,-54,1100,580,282,202,201,0,1121,14135,2029,-501,3196,0,378.5850298079046
01:20,-54,1102,581,282,203,201,0,1121,14128,2030,-611,3253,0,378.66052863436124
01:25,-54,1084,581,283,202,202,0,1121,14108,1980,-623,3269,0,379.6879087855754
01:30,-54,1070,580,282,203,205,0,1121,14093,1970,-646,3252,0,379.9624296663861
01:35,-54,1051,581,282,203,205,0,1121,14085,1970,-761,3302,0,380.37273733126796
01:40,-54,1033,581,282,202,205,0,1121,14011,1979,-807,3370,0,380.3814163603348
01:45,-54,1026,580,282,202,205,0,1121,13898,1984,-764,3381,0,379.91501290379995
01:50,-54,1033,580,279,202,205,0,1121,13842,1986,-748,3356,0,379.43488548595917
01:55,-53,1031,580,280,202,205,0,1121,13794,2006,-770,3349,0,378.8837812458078
02:00,-53,1037,580,282,202,206,0,1121,13802,1963,-797,3350,0,379.49805255853516
02:05,-54,1036,580,283,202,206,0,1121,13881,1894,-627,3120,0,380.27851878645384
02:10,-54,1028,581,284,201,206,0,1121,13931,1854,-586,3039,0,381.03598166885973
02:15,-54,1028,581,282,201,206,0,1121,13963,1847,-621,3026,0,381.2805115878271
02:20,-54,1027,581,284,201,205,0,1121,13981,1846,-707,3041,0,381.43501494429853
02:25,-54,1020,581,282,201,206,0,1121,13965,1761,-638,3033,0,382.8457475869605
02:30,-54,989,581,282,201,207,0,1122,13960,1779,-680,3058,0,383.11014017840887
02:35,-54,927,581,282,201,208,0,1122,13951,1818,-721,3104,0,383.61584644773944
02:40,-54,855,581,282,200,209,0,1122,13941,1825,-738,3166,0,384.86491898780264
02:45,-54,798,581,282,201,209,0,1122,13936,1798,-712,3196,0,386.33750114082324
02:50,-53,775,581,281,201,208,0,1122,13922,1800,-691,3175,0,386.57784691403214
02:55,-54,771,581,281,201,209,0,1122,13907,1799,-568,3077,0,386.306177837067
03:00,-54,761,581,281,201,208,0,1122,13898,1781,-480,3007,0,386.5314349112426
03:05,-54,732,581,282,201,209,0,1122,13906,1709,-371,2986,0,388.21841163622844
03:10,-54,700,581,283,201,208,0,1122,13910,1663,-266,2987,0,389.5754184734462
03:15,-55,698,582,282,201,208,0,1123,13900,1697,-212,2932,0,388.8015876721924
03:20,-55,699,582,283,201,207,0,1122,13898,1658,-69,2832,0,389.165687426557
03:25,-55,691,582,283,201,208,0,1122,13906,1546,-39,2890,0,391.4394232128552
03:30,-55,654,582,283,201,207,0,1122,13920,1517,43,2856,0,391.78184908867695
03:35,-54,623,581,283,201,208,0,1122,13929,1568,95,2791,0,390.3708771764262
03:40,-55,617,581,284,201,207,0,1123,13933,1656,69,2741,0,389.28894128743224
03:45,-54,610,582,284,201,208,0,1122,13932,1670,74,2749,0,389.10007538635506
03:50,-55,588,582,284,201,208,0,1123,13934,1674,100,2731,0,388.8855163312438
03:55,-54,573,581,283,201,208,0,1122,13949,1666,130,2745,0,388.8932705882353
04:00,-55,573,581,283,202,208,0,1122,13945,1657,182,2761,0,388.1177133201915
04:05,-55,571,581,284,202,207,0,1122,13928,1791,-191,3051,0,389.9130515559684
04:10,-55,570,581,282,202,206,0,1122,13911,1906,-332,3094,0,388.04393575779955
04:15,-54,548,582,283,202,205,0,1122,13916,1951,-300,3070,0,387.6012734151518
04:20,-54,540,581,286,202,206,0,1122,13934,1958,-238,3026,0,387.5751304910157
04:25,-55,532,581,285,203,206,0,1122,13972,1905,-150,3027,0,388.7879040088778
04:30,-55,532,581,284,203,207,0,1121,13986,1897,-54,2946,0,388.7838515081207
04:35,-55,531,581,284,203,207,0,1122,14002,1915,159,2766,0,385.1766451792422
04:40,-55,528,579,284,203,207,0,1122,14025,1934,346,2630,0,381.3208627777008
04:45,-56,524,579,286,202,207,0,1122,14033,1935,545,2480,0,377.43499493227677
04:50,-56,521,580,285,203,207,0,1121,14038,1938,657,2453,0,375.43429987153604
04:55,-57,515,580,285,202,207,0,1122,14040,1937,689,2491,0,375.13068935547324
05:00,-56,528,581,281,202,207,0,1122,14103,1930,640,2609,0,376.60520094562645
05:05,-55,532,581,278,202,223,0,1122,14361,1866,553,2723,0,380.7430911873256
05:10,-55,535,578,270,202,251,0,1122,14554,1875,678,2620,0,379.1507533208523
05:15,-55,529,581,271,202,250,0,1122,14608,1894,798,2545,0,376.90935698447896
05:20,-56,525,581,271,202,251,0,1121,14888,1900,732,2460,0,379.11552028218694
05:25,-56,533,581,272,202,251,0,1122,15079,1909,755,2349,0,379.0252609420226
05:30,-55,531,582,273,203,252,0,1122,15131,1911,984,2152,0,374.8475687011228
05:35,-55,511,581,272,202,251,0,1122,15213,1920,1160,2083,0,372.3766042317031
05:40,-54,499,581,273,202,252,0,1121,15264,1922,1325,2023,0,369.95286514433434
05:45,-55,490,582,271,202,252,0,1122,15277,1917,1621,1845,0,364.9092467955588
05:50,-55,473,581,272,202,252,0,1122,15320,1926,1738,1828,0,363.39024806069386
05:55,-55,455,580,273,202,251,0,1122,15364,1941,1759,1914,0,363.6788648877594
06:00,-55,449,569,275,202,252,0,1122,15404,1966,1951,1868,0,360.6623540283962
06:05,-52,457,562,278,202,251,0,1122,15464,2177,1633,2281,0,364.27705162144275
06:10,-52,465,556,281,202,252,0,1122,15473,2332,1723,2432,0,361.31945009354916
06:15,-52,455,553,277,202,251,0,1122,15543,2347,1928,2355,0,358.4156242434025
06:20,-52,452,548,275,202,252,0,1122,15615,2356,2114,2323,0,356.0069580517455
06:25,-51,447,546,275,202,252,0,1122,15767,2307,2195,2295,0,356.3060104945142
06:30,-52,449,542,278,201,251,0,1123,15968,2289,2326,2027,0,354.76078244653417
06:35,-51,456,536,281,201,250,0,1123,15992,2291,2356,2054,0,354.50929221035983
06:40,-45,460,535,282,203,251,0,1123,16022,2337,2370,2071,0,353.88316340589694
06:45,-22,456,534,281,201,251,0,1123,16062,2351,2330,2143,0,354.8233585809034
06:50,39,447,536,278,202,251,0,1123,16097,2392,2258,2218,0,355.39343493552167
06:55,121,438,535,276,203,252,0,1123,16135,2418,2186,2364,0,355.94488158455755
07:00,213,435,534,277,202,252,0,1123,16174,2453,2089,2524,0,356.56755302797416
07:05,443,432,534,280,202,252,0,1122,16211,2402,1807,2923,0,359.9731370465928
07:10,751,432,534,283,202,252,0,1123,16236,2373,1594,3051,0,360.1374017081154
07:15,1156,429,534,281,201,252,0,1122,16216,2356,1341,3076,0,359.08340820604974
07:20,1565,428,534,282,202,251,0,1123,16155,2254,1242,3095,0,356.7016369047619
07:25,2055,423,534,282,201,251,0,1123,16129,2239,981,2931,0,354.0958435571418
07:30,2695,417,534,282,201,251,0,1123,16034,2220,546,2831,0,352.01101067589184
07:35,3478,409,533,282,201,250,0,1123,15574,2170,444,2722,0,342.4752004752005
07:40,4162,399,533,279,201,250,0,1123,15355,2084,262,2426,0,336.0557709513868
07:45,4736,390,533,276,201,250,0,1123,15205,2033,38,2307,0,332.0482825422845
07:50,5470,382,533,276,200,251,0,1123,14921,2017,-38,1952,0,321.8148396219394
07:55,6154,368,534,280,201,251,0,1123,14755,1952,-309,1782,0,313.93067884636633
08:00,6821,357,535,281,201,250,0,1123,14524,1719,-420,1698,0,308.0991232253568
08:05,7575,343,536,280,201,253,0,1123,14236,1706,-718,1672,0,299.2618531367447
08:10,8167,330,537,281,201,255,0,1123,13861,1681,-879,1418,0,290.2660241313091
08:15,8732,320,537,282,200,255,0,1123,13572,1609,-978,1296,0,283.3223952874851
08:20,9292,315,537,283,200,256,0,1123,13197,1464,-1159,1216,0,276.67260288847865
08:25,9609,312,537,284,200,256,0,1122,12817,1382,-1108,1247,0,272.0761177753544
08:30,10185,307,537,282,200,255,0,1123,12479,1354,-1148,975,0,263.21922600393555
08:35,10544,299,537,283,199,255,0,1122,12248,1351,-1178,775,0,257.2236274581475
08:40,10962,292,536,284,199,255,0,1122,11805,1350,-1201,755,0,250.18135872550815
08:45,11481,285,536,284,199,255,0,1122,11380,1355,-1632,856,0,243.4122481635028
08:50,11665,279,537,284,199,255,0,1123,11008,1354,-1623,897,0,239.09551671176771
08:55,11528,272,536,283,199,255,0,1122,10812,1353,-1493,811,0,237.65054242829544
09:00,11681,270,536,284,198,256,0,1122,10816,1329,-1599,574,0,234.93681462140992
09:05,11731,270,533,285,198,245,0,1122,11153,1283,-2063,637,0,238.62810524768486
09:10,11786,271,529,280,198,224,0,1122,11228,1287,-2156,394,0,237.03244140985421
09:15,12044,277,533,282,199,224,0,1122,10929,1291,-2219,363,0,232.0757396449704
09:20,12395,282,535,285,199,225,0,1122,10567,1275,-2347,443,0,226.95782754676605
09:25,12620,285,535,285,199,225,0,1122,10395,1250,-2475,365,0,223.3180810171496
09:30,12559,285,535,284,198,225,0,1122,10414,1171,-2246,164,0,222.79178512644023
09:35,12660,292,534,282,199,224,0,1122,10269,1096,-2368,245,0,221.8784973219971
09:40,12761,300,535,282,198,223,0,1122,10112,1064,-2631,408,0,221.20595922634607
09:45,12636,313,535,282,199,223,0,1122,10002,1045,-2493,307,0,220.0717824590598
09:50,12585,331,532,282,199,223,0,1122,9798,1017,-2222,201,0,217.44888172785514
09:55,12549,344,530,281,198,223,0,1122,9626,995,-2260,307,0,216.90135635018495
10:00,12425,349,531,282,198,223,0,1123,9717,964,-2360,248,0,218.31899988388744
10:05,12304,353,531,282,198,215,0,1122,9403,1037,-2604,818,0,220.33660933660934
10:10,12294,355,530,284,199,198,0,1122,9184,1083,-2633,932,0,218.78220374860484
10:15,12079,360,532,284,198,194,0,1121,9301,1043,-2633,861,0,221.0563637068932
10:20,11950,378,533,282,199,194,0,1122,9289,1034,-2671,823,0,221.36899648574774
10:25,11922,396,534,284,199,193,0,1121,9177,983,-2860,1045,0,222.61073223958536
10:30,12103,409,534,282,198,194,0,1121,9109,848,-3131,1202,0,222.99689994574905
10:35,12023,417,533,287,197,193,0,1121,9022,757,-3043,1140,0,222.7353021924148
10:40,12169,431,533,285,197,194,0,1121,8873,756,-2876,1066,0,219.39617002870511
10:45,12101,431,533,286,197,193,0,1121,8764,750,-2892,1055,0,218.63562881369364
10:50,12151,437,533,287,198,193,0,1122,8679,750,-2861,1110,0,217.83235049669528
10:55,11920,444,534,283,198,193,0,1121,8605,745,-2850,1072,0,218.2245405665677
11:00,11960,456,534,280,199,193,0,1122,8604,746,-2940,1197,0,218.9812734082397
11:05,11750,464,535,281,199,194,0,1121,8780,808,-3458,1287,0,222.57649157581764
11:10,11938,475,535,282,199,194,0,1121,8847,831,-3466,1121,0,220.22801688429524
11:15,11679,480,535,283,199,194,0,1122,8730,860,-3539,1205,0,221.2408241342207
11:20,11666,510,535,285,199,194,0,1121,8607,862,-3457,1218,0,219.8699356077271
11:25,11747,542,535,284,199,194,0,1122,8636,795,-3589,1292,0,220.5535941475827
11:30,11704,568,534,287,199,194,0,1122,8638,733,-3717,1356,0,221.731673362237
11:35,11783,595,534,286,199,194,0,1122,8616,717,-3701,1276,0,220.1240846864056
11:40,11759,628,533,285,200,194,0,1122,8483,719,-3568,1214,0,217.99550976225794
11:45,11624,655,534,286,199,194,0,1122,8391,718,-3565,1217,0,217.71559039844823
11:50,11697,664,534,286,200,194,0,1122,8309,728,-3521,1296,0,216.90457400547592
11:55,11805,689,534,286,199,194,0,1121,8265,722,-3508,1193,0,214.56556782461513
12:00,11688,697,534,286,199,194,0,1121,8310,724,-3550,1143,0,215.29868026880413
12:05,11928,705,534,286,200,194,0,1122,8445,778,-3907,1030,0,213.63121304139364
12:10,12147,703,533,287,200,194,0,1122,8479,820,-3996,925,0,211.28886421319797
12:15,11947,686,532,286,200,194,0,1121,8471,834,-4046,873,0,212.05579158316633
12:20,12027,671,532,284,199,194,0,1121,8429,831,-3920,879,0,211.26056140631883
12:25,12096,672,532,287,200,194,0,1121,8373,784,-3956,895,0,210.68453525641024
