Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-37,3193,905,287,212,191,4,2245,8225,1477,200,6129,0
00:05,-37,3441,904,285,212,186,3,2244,8098,1496,259,5889,0
00:10,-37,3624,904,286,212,186,3,2246,7888,1405,231,5898,0
00:15,-37,3835,904,284,212,186,3,2245,7637,1416,321,5785,0
00:20,-35,4012,904,285,213,186,3,2244,7378,1415,350,5771,0
00:25,-38,4102,904,285,213,187,3,2245,7355,1537,450,5392,0
00:30,-39,4199,904,286,213,190,3,2245,7139,1612,83,5730,0
00:35,-37,4250,904,289,214,190,3,2245,7085,1612,-56,5921,0
00:40,-37,4251,903,289,215,191,3,2244,6969,1582,-24,5888,0
00:45,-37,4343,904,286,214,190,3,2244,7104,1381,-53,5950,0
00:50,-36,4418,904,290,215,189,3,2244,7274,1303,-78,5958,0
00:55,-37,4458,903,292,215,188,3,2243,7118,1310,-10,5885,0
01:00,-37,4425,904,295,215,189,4,2244,7066,1314,5,5852,0
01:05,-36,4403,904,294,215,188,4,2242,6903,1279,86,5916,0
01:10,-37,4408,904,297,215,188,4,2242,6858,1288,154,5852,0
01:15,-36,4422,903,298,215,189,4,2243,6835,1292,178,5749,0
01:20,-37,4421,899,296,215,190,4,2243,6844,1292,124,5741,0
01:25,-37,4494,903,293,215,189,3,2243,6834,1299,29,5726,0
01:30,-37,4588,904,295,215,189,3,2244,7040,1306,-163,5713,0
01:35,-37,4635,903,294,215,188,3,2243,6989,1299,-127,5623,0
01:40,-37,4752,903,295,215,188,3,2244,6944,1305,-148,5505,0
01:45,-37,4800,903,296,215,189,3,2245,6928,1327,-170,5431,0
01:50,-37,4778,903,297,214,190,3,2244,6800,1330,-88,5403,0
01:55,-37,4755,904,298,214,189,4,2245,6583,1333,18,5366,0
02:00,-37,4773,903,296,214,189,3,2244,6420,1338,39,5468,0
02:05,-37,4795,907,295,215,186,3,2245,6381,1364,12,5429,0
02:10,-36,4807,916,297,215,184,3,2244,6316,1402,-9,5465,0
02:15,-36,4830,921,296,215,184,3,2245,6192,1440,2,5479,0
02:20,-36,4838,922,294,215,184,3,2245,6048,1477,10,5531,0
02:25,-36,4896,929,294,215,185,3,2246,5988,1490,24,5497,0
02:30,-36,4897,939,297,215,185,3,2246,5952,1518,6,5465,0
02:35,-36,4878,944,297,215,187,3,2246,5986,1516,-52,5486,0
02:40,-36,4901,944,296,215,187,3,2246,6025,1500,-115,5485,0
02:45,-36,4910,944,296,215,187,3,2246,5966,1488,-41,5435,0
02:50,-36,4863,941,297,215,187,3,2246,5872,1486,-12,5453,0
02:55,-36,4856,943,298,215,187,3,2246,5912,1487,-40,5456,0
03:00,-36,4845,944,298,215,187,3,2247,5859,1483,-36,5476,0
03:05,-36,4835,944,298,215,185,3,2247,5686,1492,70,5516,0
03:10,-36,4824,944,300,215,185,3,2246,5633,1489,102,5519,0
03:15,-36,4827,943,298,214,186,3,2246,5711,1504,54,5456,0
03:20,-36,4840,944,298,214,185,3,2246,5722,1514,-15,5476,0
03:25,-36,4881,944,297,204,185,3,2246,5744,1514,-42,5370,0
03:30,-36,4800,944,299,204,185,3,2246,5742,1533,-48,5441,0
03:35,-36,4794,944,299,204,185,3,2246,5709,1542,-49,5422,0
03:40,-37,4770,945,299,204,185,3,2246,5735,1548,-48,5374,0
03:45,-37,4717,944,299,204,186,3,2247,5792,1539,-48,5325,0
03:50,-37,4627,945,299,204,186,3,2246,5814,1539,-50,5377,0
03:55,-37,4532,945,298,204,187,3,2245,5835,1546,-12,5358,0
04:00,-36,4357,945,300,204,188,3,2246,5835,1547,105,5364,0
04:05,-36,4260,945,299,204,187,3,2245,5865,1491,204,5400,0
04:10,-36,4172,946,297,204,189,3,2244,5931,1478,255,5489,0
04:15,-37,4137,945,297,204,188,3,2245,6096,1491,166,5410,0
04:20,-37,4119,945,300,204,188,3,2245,6334,1502,-58,5509,0
04:25,-37,4149,945,300,204,190,3,2246,6384,1496,-148,5528,0
04:30,-37,4184,946,299,204,190,3,2246,6461,1515,-215,5507,0
04:35,-36,4239,946,300,203,191,3,2245,6567,1526,-315,5539,0
04:40,-36,4313,946,301,203,191,4,2246,6643,1519,-416,5586,0
04:45,-37,4361,946,301,203,191,3,2245,6657,1511,-368,5449,0
04:50,-36,4380,945,302,203,190,4,2246,6594,1524,-254,5288,0
04:55,-36,4372,946,304,203,188,4,2245,6584,1528,-280,5269,0
05:00,-36,4370,946,305,203,187,4,2245,6574,1518,-337,5402,0
05:05,-35,4359,946,305,203,187,4,2246,6443,1524,-153,5396,0
05:10,-35,4304,945,307,203,187,4,2245,6227,1533,62,5358,0
05:15,-35,4273,945,306,203,187,4,2245,6313,1546,47,5356,0
05:20,-35,4214,947,304,203,187,4,2243,6486,1547,-3,5312,0
05:25,-35,4203,947,304,203,188,4,2244,6638,1547,-27,5263,0
05:30,-35,4222,946,305,203,188,4,2244,6863,1558,-87,5167,0
05:35,-35,4210,948,301,203,189,4,2245,6983,1566,-87,5091,0
05:40,-35,4217,948,301,203,188,4,2245,6883,1562,25,5055,0
05:45,-35,4246,948,301,203,188,4,2244,6930,1558,61,4954,0
05:50,-35,4199,948,303,202,188,4,2245,6934,1554,162,4896,0
05:55,-35,4166,948,305,203,188,4,2245,6901,1571,169,4911,0
06:00,-35,4193,947,307,202,188,4,2245,6952,1572,166,4963,0
06:05,-36,4202,947,311,202,187,4,2245,6883,1527,124,5164,0
06:10,-35,4176,947,312,202,190,4,2245,6786,1538,45,5409,0
06:15,-35,4198,947,311,201,190,4,2245,6430,1531,158,5523,0
06:20,-35,4179,944,310,201,190,4,2245,6154,1539,350,5585,0
06:25,-36,4186,946,310,201,191,3,2246,6363,1532,343,5443,0
06:30,-35,4237,947,310,201,191,3,2245,6515,1532,309,5307,0
06:35,-35,4317,947,311,201,189,3,2246,6683,1531,408,5071,0
06:40,-35,4357,947,311,200,189,2,2245,6628,1528,569,4965,0
06:45,-36,4271,946,311,201,188,2,2246,6666,1537,701,4863,0
06:50,-37,4223,946,312,201,188,2,2247,6581,1540,994,4801,0
06:55,-37,4199,948,313,200,190,2,2246,6247,1550,1260,4719,0
07:00,-33,4179,947,312,201,190,3,2246,6336,1558,1134,4794,0
07:05,-23,4131,947,313,200,191,3,2241,6311,1911,918,4703,0
07:10,-9,4103,947,315,200,191,3,2244,6237,1940,843,4594,0
07:15,34,4106,947,315,200,191,3,2243,6189,1938,835,4633,0
07:20,84,4163,948,314,200,191,2,2243,6268,1916,772,4606,0
07:25,174,4203,947,314,200,188,3,2244,6355,1902,649,4588,0
07:30,295,4160,947,313,203,188,3,2244,6389,1911,669,4490,0
07:35,417,4108,947,315,206,190,4,2243,6315,1899,748,4408,0
07:40,638,4107,948,315,209,190,4,2243,6221,1888,734,4209,0
07:45,832,4138,947,316,209,190,3,2243,6356,1911,590,4110,0
07:50,1122,4128,947,314,209,190,3,2244,6429,1870,432,3936,0
07:55,1366,4107,947,316,211,190,4,2243,6431,1850,427,3764,0
08:00,1664,4090,948,315,211,191,4,2243,6007,1830,297,3892,0
08:05,1908,4088,947,314,211,191,4,2244,5884,1891,-83,4197,0
08:10,2189,4090,948,313,211,191,4,2243,5422,1870,172,3989,0
08:15,2591,4115,948,315,211,191,4,2243,5199,1873,86,3851,0
08:20,2982,4155,947,319,211,191,4,2243,5037,1882,-14,3706,0
08:25,3475,4203,947,313,212,192,4,2242,4640,1872,-72,3584,0
08:30,3886,4140,947,312,211,194,3,2243,4607,1873,-250,3489,0
08:35,4160,4066,947,314,212,193,4,2242,4377,1871,-92,3194,0
08:40,4295,3997,947,315,211,195,4,2243,4068,1872,91,2951,0
08:45,4241,4023,947,314,212,195,4,2242,4122,1879,260,2810,0
08:50,4598,4031,947,313,212,195,4,2243,4087,1805,293,2378,0
08:55,4781,4020,945,313,212,196,4,2243,4027,1783,257,2194,0
09:00,4973,3952,946,314,211,196,4,2243,4050,1770,-37,2271,0
09:05,5061,3965,946,314,210,189,4,2243,3985,1718,-190,2454,0
09:10,5218,3978,946,314,211,188,4,2244,3843,1694,-103,2461,0
