Log: /scratch2/09796/shuyuanfan4814/carbon/out/frontera-scaling.7953063.20260924T082552Z.vBdJPu
Slurm job: 7953063
Host: c209-003.frontera.tacc.utexas.edu
ASSUMED scaling profile: medium/e050; efficiency32/4=50%; T16=22.6h; seed=11; rho=1.0
Fixed source: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-fixed-max48
PPO output: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-max48-weighted-seed11
Fixed requests 48h; dynamic requests rounded planned duration. All returned curves must disclose both rules.
frontera-train-0016 Fixed-4: completed, chunks=2
frontera-train-0016 Fixed-8: completed, chunks=1
frontera-train-0016 Fixed-16: completed, chunks=1
frontera-train-0016 Fixed-32: completed, chunks=1
frontera-train-0017 Fixed-4: completed, chunks=2
frontera-train-0017 Fixed-8: completed, chunks=1
frontera-train-0017 Fixed-16: completed, chunks=1
frontera-train-0017 Fixed-32: completed, chunks=1
frontera-train-0018 Fixed-4: completed, chunks=2
frontera-train-0018 Fixed-8: completed, chunks=1
frontera-train-0018 Fixed-16: completed, chunks=1
frontera-train-0018 Fixed-32: completed, chunks=1
frontera-train-0019 Fixed-4: completed, chunks=2
frontera-train-0019 Fixed-8: completed, chunks=1
frontera-train-0019 Fixed-16: completed, chunks=1
frontera-train-0019 Fixed-32: completed, chunks=1
frontera-train-0020 Fixed-4: completed, chunks=2
frontera-train-0020 Fixed-8: completed, chunks=1
frontera-train-0020 Fixed-16: completed, chunks=1
frontera-train-0020 Fixed-32: completed, chunks=1
frontera-train-0021 Fixed-4: completed, chunks=2
frontera-train-0021 Fixed-8: completed, chunks=1
frontera-train-0021 Fixed-16: completed, chunks=1
frontera-train-0021 Fixed-32: completed, chunks=1
frontera-train-0022 Fixed-4: completed, chunks=2
frontera-train-0022 Fixed-8: completed, chunks=1
frontera-train-0022 Fixed-16: completed, chunks=1
frontera-train-0022 Fixed-32: completed, chunks=1
frontera-train-0023 Fixed-4: completed, chunks=2
frontera-train-0023 Fixed-8: completed, chunks=1
frontera-train-0023 Fixed-16: completed, chunks=1
frontera-train-0023 Fixed-32: completed, chunks=1
frontera-train-0024 Fixed-4: completed, chunks=2
frontera-train-0024 Fixed-8: completed, chunks=1
frontera-train-0024 Fixed-16: completed, chunks=1
frontera-train-0024 Fixed-32: completed, chunks=1
frontera-train-0025 Fixed-4: completed, chunks=2
frontera-train-0025 Fixed-8: completed, chunks=1
frontera-train-0025 Fixed-16: completed, chunks=1
frontera-train-0025 Fixed-32: completed, chunks=1
frontera-train-0026 Fixed-4: completed, chunks=2
frontera-train-0026 Fixed-8: completed, chunks=1
frontera-train-0026 Fixed-16: completed, chunks=1
frontera-train-0026 Fixed-32: completed, chunks=1
frontera-train-0027 Fixed-4: completed, chunks=2
frontera-train-0027 Fixed-8: completed, chunks=1
frontera-train-0027 Fixed-16: completed, chunks=1
frontera-train-0027 Fixed-32: completed, chunks=1
frontera-train-0028 Fixed-4: completed, chunks=2
frontera-train-0028 Fixed-8: completed, chunks=1
frontera-train-0028 Fixed-16: completed, chunks=1
frontera-train-0028 Fixed-32: completed, chunks=1
frontera-train-0029 Fixed-4: completed, chunks=2
frontera-train-0029 Fixed-8: completed, chunks=1
frontera-train-0029 Fixed-16: completed, chunks=1
frontera-train-0029 Fixed-32: completed, chunks=1
frontera-train-0030 Fixed-4: completed, chunks=2
frontera-train-0030 Fixed-8: completed, chunks=1
frontera-train-0030 Fixed-16: completed, chunks=1
frontera-train-0030 Fixed-32: completed, chunks=1
frontera-train-0031 Fixed-4: completed, chunks=2
frontera-train-0031 Fixed-8: completed, chunks=1
frontera-train-0031 Fixed-16: completed, chunks=1
frontera-train-0031 Fixed-32: completed, chunks=1
frontera-train-0032 Fixed-4: completed, chunks=2
frontera-train-0032 Fixed-8: completed, chunks=1
frontera-train-0032 Fixed-16: completed, chunks=1
frontera-train-0032 Fixed-32: completed, chunks=1
frontera-train-0033 Fixed-4: completed, chunks=2
frontera-train-0033 Fixed-8: completed, chunks=1
frontera-train-0033 Fixed-16: completed, chunks=1
frontera-train-0033 Fixed-32: completed, chunks=1
frontera-train-0034 Fixed-4: completed, chunks=2
frontera-train-0034 Fixed-8: completed, chunks=1
frontera-train-0034 Fixed-16: completed, chunks=1
frontera-train-0034 Fixed-32: completed, chunks=1
frontera-train-0035 Fixed-4: completed, chunks=2
frontera-train-0035 Fixed-8: completed, chunks=1
frontera-train-0035 Fixed-16: completed, chunks=1
frontera-train-0035 Fixed-32: completed, chunks=1
frontera-train-0036 Fixed-4: completed, chunks=2
frontera-train-0036 Fixed-8: completed, chunks=1
frontera-train-0036 Fixed-16: completed, chunks=1
frontera-train-0036 Fixed-32: completed, chunks=1
frontera-train-0037 Fixed-4: completed, chunks=2
frontera-train-0037 Fixed-8: completed, chunks=1
frontera-train-0037 Fixed-16: completed, chunks=1
frontera-train-0037 Fixed-32: completed, chunks=1
frontera-train-0038 Fixed-4: completed, chunks=2
frontera-train-0038 Fixed-8: completed, chunks=1
frontera-train-0038 Fixed-16: completed, chunks=1
frontera-train-0038 Fixed-32: completed, chunks=1
frontera-train-0039 Fixed-4: completed, chunks=2
frontera-train-0039 Fixed-8: completed, chunks=1
frontera-train-0039 Fixed-16: completed, chunks=1
frontera-train-0039 Fixed-32: completed, chunks=1
frontera-train-0040 Fixed-4: completed, chunks=2
frontera-train-0040 Fixed-8: completed, chunks=1
frontera-train-0040 Fixed-16: completed, chunks=1
frontera-train-0040 Fixed-32: completed, chunks=1
frontera-train-0041 Fixed-4: completed, chunks=2
frontera-train-0041 Fixed-8: completed, chunks=1
frontera-train-0041 Fixed-16: completed, chunks=1
frontera-train-0041 Fixed-32: completed, chunks=1
frontera-train-0042 Fixed-4: completed, chunks=2
frontera-train-0042 Fixed-8: completed, chunks=1
frontera-train-0042 Fixed-16: completed, chunks=1
frontera-train-0042 Fixed-32: completed, chunks=1
frontera-train-0043 Fixed-4: completed, chunks=2
frontera-train-0043 Fixed-8: completed, chunks=1
frontera-train-0043 Fixed-16: completed, chunks=1
frontera-train-0043 Fixed-32: completed, chunks=1
frontera-train-0044 Fixed-4: completed, chunks=2
frontera-train-0044 Fixed-8: completed, chunks=1
frontera-train-0044 Fixed-16: completed, chunks=1
frontera-train-0044 Fixed-32: completed, chunks=1
frontera-train-0045 Fixed-4: completed, chunks=2
frontera-train-0045 Fixed-8: completed, chunks=1
frontera-train-0045 Fixed-16: completed, chunks=1
frontera-train-0045 Fixed-32: completed, chunks=1
frontera-train-0046 Fixed-4: completed, chunks=2
frontera-train-0046 Fixed-8: completed, chunks=1
frontera-train-0046 Fixed-16: completed, chunks=1
frontera-train-0046 Fixed-32: completed, chunks=1
frontera-train-0047 Fixed-4: completed, chunks=2
frontera-train-0047 Fixed-8: completed, chunks=1
frontera-train-0047 Fixed-16: completed, chunks=1
frontera-train-0047 Fixed-32: completed, chunks=1
frontera-train-0048 Fixed-4: completed, chunks=2
frontera-train-0048 Fixed-8: completed, chunks=1
frontera-train-0048 Fixed-16: completed, chunks=1
frontera-train-0048 Fixed-32: completed, chunks=1
frontera-train-0049 Fixed-4: completed, chunks=2
frontera-train-0049 Fixed-8: completed, chunks=1
frontera-train-0049 Fixed-16: completed, chunks=1
frontera-train-0049 Fixed-32: completed, chunks=1
frontera-train-0050 Fixed-4: completed, chunks=2
frontera-train-0050 Fixed-8: completed, chunks=1
frontera-train-0050 Fixed-16: completed, chunks=1
frontera-train-0050 Fixed-32: completed, chunks=1
frontera-train-0051 Fixed-4: completed, chunks=2
frontera-train-0051 Fixed-8: completed, chunks=1
frontera-train-0051 Fixed-16: completed, chunks=1
frontera-train-0051 Fixed-32: completed, chunks=1
frontera-train-0052 Fixed-4: completed, chunks=2
frontera-train-0052 Fixed-8: completed, chunks=1
frontera-train-0052 Fixed-16: completed, chunks=1
frontera-train-0052 Fixed-32: completed, chunks=1
frontera-train-0053 Fixed-4: completed, chunks=2
frontera-train-0053 Fixed-8: completed, chunks=1
frontera-train-0053 Fixed-16: completed, chunks=1
frontera-train-0053 Fixed-32: completed, chunks=1
frontera-train-0054 Fixed-4: completed, chunks=2
frontera-train-0054 Fixed-8: completed, chunks=1
frontera-train-0054 Fixed-16: completed, chunks=1
frontera-train-0054 Fixed-32: completed, chunks=1
frontera-train-0055 Fixed-4: completed, chunks=2
frontera-train-0055 Fixed-8: completed, chunks=1
frontera-train-0055 Fixed-16: completed, chunks=1
frontera-train-0055 Fixed-32: completed, chunks=1
frontera-train-0056 Fixed-4: completed, chunks=2
frontera-train-0056 Fixed-8: completed, chunks=1
frontera-train-0056 Fixed-16: completed, chunks=1
frontera-train-0056 Fixed-32: completed, chunks=1
frontera-train-0057 Fixed-4: completed, chunks=2
frontera-train-0057 Fixed-8: completed, chunks=1
frontera-train-0057 Fixed-16: completed, chunks=1
frontera-train-0057 Fixed-32: completed, chunks=1
frontera-train-0058 Fixed-4: completed, chunks=2
frontera-train-0058 Fixed-8: completed, chunks=1
frontera-train-0058 Fixed-16: completed, chunks=1
frontera-train-0058 Fixed-32: completed, chunks=1
frontera-train-0059 Fixed-4: completed, chunks=2
frontera-train-0059 Fixed-8: completed, chunks=1
frontera-train-0059 Fixed-16: completed, chunks=1
frontera-train-0059 Fixed-32: completed, chunks=1
frontera-train-0060 Fixed-4: completed, chunks=2
frontera-train-0060 Fixed-8: completed, chunks=1
frontera-train-0060 Fixed-16: completed, chunks=1
frontera-train-0060 Fixed-32: completed, chunks=1
